"site","year","month","avg_phase_air","avg_phase_water","avg_phase_lag","phase_lag_flag1","phase_lag_flag2","phase_lag_flag","month_date"
"Bailey Creek",2019,5,14.5420754921194,-0.38054083499093,-9.07738367288962,TRUE,TRUE,2,2019-05-01
"Bailey Creek",2019,6,14.6024027548161,-0.25990962290034,-9.13768762228356,TRUE,TRUE,2,2019-06-01
"Bailey Creek",2019,7,14.1140069790604,-0.420408035920482,-9.46558498501907,TRUE,TRUE,2,2019-07-01
"Bailey Creek",2019,8,14.0398997209843,-0.690991919772054,-9.26910835924364,TRUE,TRUE,2,2019-08-01
"Bailey Creek",2020,3,14.2337308517524,-1.32445684420251,-8.44181230404512,TRUE,TRUE,2,2020-03-01
"Bailey Creek",2020,4,13.5842785975484,-0.636035110922691,-8.4463529581956,TRUE,TRUE,2,2020-04-01
"Bailey Creek",2020,5,14.5633597192027,-0.41852667965345,-9.01811360114381,TRUE,TRUE,2,2020-05-01
"Bailey Creek",2020,6,14.2564822365524,-0.89524693011001,-8.84827083333757,TRUE,TRUE,2,2020-06-01
"Bailey Creek",2020,7,14.2969469727717,-0.884516266924385,-8.81853676030394,TRUE,TRUE,2,2020-07-01
"Bailey Creek",2020,8,14.055988907254,-1.12646933339497,-8.81754175935106,TRUE,TRUE,2,2020-08-01
"Bailey Creek",2020,9,13.860982363638,-1.53883507722563,-8.60018255913636,TRUE,TRUE,2,2020-09-01
"Bailey Creek",2020,10,13.5410828542047,-1.25353474919165,-9.20538239660363,TRUE,TRUE,2,2020-10-01
"Bailey Creek",2020,11,13.3853727215839,-1.70084679142435,-8.91378048699176,TRUE,TRUE,2,2020-11-01
"Bailey Creek",2021,3,13.8876714649628,-1.45342805846332,-8.65890047657386,TRUE,TRUE,2,2021-03-01
"Bailey Creek",2021,4,13.6192681156178,-1.1996053718779,-9.18112651250425,TRUE,TRUE,2,2021-04-01
"Bailey Creek",2021,5,14.6680960415392,-0.799880012234021,-8.53202394622675,TRUE,TRUE,2,2021-05-01
"Bailey Creek",2021,6,13.6064185315057,-1.24137066751306,-8.32462459408467,TRUE,TRUE,2,2021-06-01
"Bailey Creek",2021,7,14.3200550660139,-1.41829600692773,-8.26164892705838,TRUE,TRUE,2,2021-07-01
"Bailey Creek",2021,8,13.9964063566913,-1.6266118476246,-8.37698179568408,TRUE,TRUE,2,2021-08-01
"Bailey Creek",2021,9,13.6076441692602,-1.75084837694003,-8.64150745379979,TRUE,TRUE,2,2021-09-01
"Bailey Creek",2021,10,14.0838586688169,-1.61472750224083,-8.30141382894231,TRUE,TRUE,2,2021-10-01
"Bailey Creek",2021,11,13.1750665554755,-1.64703272509858,-9.17790071942589,TRUE,TRUE,2,2021-11-01
"Bailey Creek",2022,3,13.511244797649,-1.38487443120796,-9.10388077114306,TRUE,TRUE,2,2022-03-01
"Bailey Creek",2022,4,13.7539851173199,-1.20077789264946,-9.04523699003062,TRUE,TRUE,2,2022-04-01
"Bailey Creek",2022,5,14.4720442849726,-0.624519697506312,-8.90343601752106,TRUE,TRUE,2,2022-05-01
"Bailey Creek",2022,6,14.4366364916185,-0.750010903258556,-8.81335260512293,TRUE,TRUE,2,2022-06-01
"Bailey Creek",2022,7,14.1294966359541,-0.80258183229315,-9.06792153175275,TRUE,TRUE,2,2022-07-01
"Bailey Creek",2022,8,14.255351989352,-0.665076562620453,-9.0795714480276,TRUE,TRUE,2,2022-08-01
"Bailey Creek",2022,9,13.9274693380514,-0.861603456328791,-9.21092720561978,TRUE,TRUE,2,2022-09-01
"Bailey Creek",2022,10,13.8938429946585,-0.842045850470465,-9.26411115487099,TRUE,TRUE,2,2022-10-01
"Bailey Creek",2022,11,12.6887593690306,-1.61042409542687,-9.70081653554257,TRUE,TRUE,2,2022-11-01
"Bailey Creek",2023,3,14.1680265843078,-1.22884398524582,-8.60312943044634,TRUE,TRUE,2,2023-03-01
"Bailey Creek",2023,4,14.0820156211423,-0.348300895483058,-9.56968348337466,TRUE,TRUE,2,2023-04-01
"Bailey Creek",2023,5,14.6768554594938,7.42111886209781,7.25573659739599,TRUE,TRUE,2,2023-05-01
"Bailey Creek",2023,6,14.7212768230723,6.65711011552931,8.064166707543,TRUE,TRUE,2,2023-06-01
"Bailey Creek",2023,7,14.3018028487343,6.51264487331712,7.78915797541723,TRUE,TRUE,2,2023-07-01
"Bailey Creek",2023,8,14.2773294207885,6.55905738942572,7.71827203136276,TRUE,TRUE,2,2023-08-01
"Bailey Creek",2023,9,14.0653987883723,6.37553577466258,7.68986301370969,TRUE,TRUE,2,2023-09-01
"Bailey Creek",2023,10,14.2845618974451,6.28490968830727,7.9996522091378,TRUE,TRUE,2,2023-10-01
"Bailey Creek",2023,11,13.9575331910793,5.66064084258765,8.29689234849168,TRUE,TRUE,2,2023-11-01
"Bailey Creek",2024,2,13.8356049672511,5.34138589142771,8.49421907582335,TRUE,TRUE,2,2024-02-01
"Bailey Creek",2024,3,13.3087371685779,5.92985082905614,7.37888633952172,TRUE,TRUE,2,2024-03-01
"Bailey Creek",2024,4,13.9958111205416,7.22939540993813,6.76641571060346,TRUE,TRUE,2,2024-04-01
"Bailey Creek",2024,5,13.6973209035163,6.88641708913762,6.8109038143787,TRUE,TRUE,2,2024-05-01
"Bailey Creek",2024,6,14.2013426333267,6.75113391474353,7.45020871858322,TRUE,TRUE,2,2024-06-01
